127.0.0.1, 2013-04-18 21:08:09, GET, /project/default/downm/0/65, HTTP/1.1, 200, 0.033633
127.0.0.1, 2013-04-18 21:08:09, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000358
127.0.0.1, 2013-04-18 21:09:02, GET, /project/default/dev/65, HTTP/1.1, 200, 0.053987
127.0.0.1, 2013-04-18 21:14:37, GET, /project/default/dev/65, HTTP/1.1, 200, 0.044993
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000361
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000259
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000270
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.001091
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001301
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000538
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.001542
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001033
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001227
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000926
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000258
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.001038
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.001933
127.0.0.1, 2013-04-18 21:14:37, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.001030
127.0.0.1, 2013-04-18 21:14:39, GET, /project/default/downm/0/65, HTTP/1.1, 200, 0.078933
127.0.0.1, 2013-04-18 21:14:39, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000383
127.0.0.1, 2013-04-18 21:14:41, GET, /project/default/dev/65, HTTP/1.1, 200, 0.047894
127.0.0.1, 2013-04-18 21:16:59, GET, /project/default/downm/2/65, HTTP/1.1, 303, 0.052103
127.0.0.1, 2013-04-18 21:17:00, GET, /project/default/down/out.tar, HTTP/1.1, 404, 0.151199
127.0.0.1, 2013-04-18 21:17:02, GET, /project/default/dev/65, HTTP/1.1, 200, 0.049285
127.0.0.1, 2013-04-18 21:19:05, GET, /project/default/downm/1/65, HTTP/1.1, 303, 0.050908
127.0.0.1, 2013-04-18 21:19:06, GET, /project/default/down//home/ashish/web2py/applications/project/uploads/out.tar, HTTP/1.1, 404, 0.061380
127.0.0.1, 2013-04-18 21:19:12, GET, /project/default/dev/65, HTTP/1.1, 200, 0.048422
127.0.0.1, 2013-04-18 21:29:31, GET, /project/default/downm/0/65, HTTP/1.1, 500, 0.160995
127.0.0.1, 2013-04-18 21:29:33, GET, /admin/default/ticket/project/127.0.0.1.2013-04-18.21-29-31.70cb596f-999e-4ba1-878d-cbbecbfd48fe, HTTP/1.1, 200, 0.091136
127.0.0.1, 2013-04-18 21:29:33, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.011196
127.0.0.1, 2013-04-18 21:29:39, GET, /admin/default/errors/project, HTTP/1.1, 200, 3.276443
127.0.0.1, 2013-04-18 21:29:48, GET, /project/default/downm/0/65, HTTP/1.1, 500, 0.088389
127.0.0.1, 2013-04-18 21:29:50, GET, /admin/default/ticket/project/127.0.0.1.2013-04-18.21-29-48.f9c94a27-1c7c-4874-84de-650e86f55527, HTTP/1.1, 200, 0.078051
127.0.0.1, 2013-04-18 21:30:01, GET, /project/default/downm/0/65, HTTP/1.1, 200, 0.083657
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000277
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.000299
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.000336
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000270
127.0.0.1, 2013-04-18 21:30:01, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000301
